fips,NAME,year,total_25plus,bach_or_higher,pct_bach_degree
13199,"Meriwether County, Georgia",2020,14873,1603,10.777919720298527
13201,"Miller County, Georgia",2020,3988,743,18.6308926780341
13205,"Mitchell County, Georgia",2020,15369,1791,11.65332812804997
13207,"Monroe County, Georgia",2020,19208,5109,26.59829237817576
13209,"Montgomery County, Georgia",2020,6029,993,16.470393100016587
13211,"Morgan County, Georgia",2020,13344,3227,24.183153477218227
13213,"Murray County, Georgia",2020,26609,2824,10.612950505468074
13215,"Muscogee County, Georgia",2020,127636,35091,27.4930270456611
13217,"Newton County, Georgia",2020,70345,14675,20.86146847679295
13219,"Oconee County, Georgia",2020,25711,12999,50.55812687176695
13221,"Oglethorpe County, Georgia",2020,10463,2049,19.58329351046545
13223,"Paulding County, Georgia",2020,107492,25685,23.894801473598033
13225,"Peach County, Georgia",2020,17944,3950,22.012929112795362
13227,"Pickens County, Georgia",2020,23403,5306,22.672306969191983
13229,"Pierce County, Georgia",2020,13021,1739,13.355349051532139
13231,"Pike County, Georgia",2020,12691,2469,19.45473169962966
13233,"Polk County, Georgia",2020,27883,3553,12.742531291467921
13235,"Pulaski County, Georgia",2020,8443,1106,13.09960914366931
13237,"Putnam County, Georgia",2020,15969,3751,23.489260442106584
13239,"Quitman County, Georgia",2020,1772,203,11.455981941309256
13241,"Rabun County, Georgia",2020,13009,3693,28.388039049888537
13243,"Randolph County, Georgia",2020,4602,565,12.277270751847023
13245,"Richmond County, Georgia",2020,132953,29903,22.491406737719345
13247,"Rockdale County, Georgia",2020,59934,16308,27.20993092401642
13249,"Schley County, Georgia",2020,3466,419,12.088863242931334
13251,"Screven County, Georgia",2020,9942,1452,14.604707302353651
13253,"Seminole County, Georgia",2020,5962,921,15.447836296544784
13255,"Spalding County, Georgia",2020,45242,8175,18.069492949029666
13257,"Stephens County, Georgia",2020,17620,3177,18.030646992054482
13259,"Stewart County, Georgia",2020,5097,694,13.615852462232686
13261,"Sumter County, Georgia",2020,18878,3769,19.965038669350566
13263,"Talbot County, Georgia",2020,4703,592,12.587709972358068
13265,"Taliaferro County, Georgia",2020,1255,72,5.7370517928286855
13267,"Tattnall County, Georgia",2020,17993,2526,14.038792863891514
13269,"Taylor County, Georgia",2020,6044,758,12.541363335539376
13271,"Telfair County, Georgia",2020,11876,828,6.972044459413944
13273,"Terrell County, Georgia",2020,5954,608,10.211622438696674
13275,"Thomas County, Georgia",2020,30472,7350,24.120504069309533
13277,"Tift County, Georgia",2020,25943,4479,17.264772771075048
13279,"Toombs County, Georgia",2020,17528,2910,16.602008215426743
13281,"Towns County, Georgia",2020,8669,2824,32.575844964817165
13283,"Treutlen County, Georgia",2020,4528,738,16.29858657243816
13285,"Troup County, Georgia",2020,46156,9266,20.075396481497528
13287,"Turner County, Georgia",2020,5585,604,10.81468218442256
13289,"Twiggs County, Georgia",2020,6256,644,10.294117647058822
13291,"Union County, Georgia",2020,18798,4258,22.651345887860412
13293,"Upson County, Georgia",2020,18366,2500,13.612109332462158
13295,"Walker County, Georgia",2020,48769,9346,19.163813077979864
13297,"Walton County, Georgia",2020,62517,14069,22.504278836156566
13299,"Ware County, Georgia",2020,24405,3703,15.173120262241344
13301,"Warren County, Georgia",2020,3899,411,10.541164401128494
13303,"Washington County, Georgia",2020,14287,2155,15.083642472177505
13305,"Wayne County, Georgia",2020,20162,2540,12.597956551929373
13307,"Webster County, Georgia",2020,1851,203,10.967044840626688
13309,"Wheeler County, Georgia",2020,4279,646,15.096985276933864
13311,"White County, Georgia",2020,21695,4388,20.22585849274026
13313,"Whitfield County, Georgia",2020,67343,11050,16.40853540828297
13315,"Wilcox County, Georgia",2020,6341,762,12.017032013877937
13317,"Wilkes County, Georgia",2020,7028,798,11.354581673306772
13319,"Wilkinson County, Georgia",2020,6214,695,11.184422272288382
13321,"Worth County, Georgia",2020,14219,1470,10.3382797665096
15001,"Hawaii County, Hawaii",2020,143758,42432,29.51627039886476
15003,"Honolulu County, Hawaii",2020,681697,243482,35.71704144216565
15005,"Kalawao County, Hawaii",2020,433,171,39.4919168591224
15007,"Kauai County, Hawaii",2020,51517,14701,28.536211347710466
15009,"Maui County, Hawaii",2020,119018,33703,28.317565410274074
16001,"Ada County, Idaho",2020,318116,127431,40.05802914660061
16003,"Adams County, Idaho",2020,3303,620,18.770814411141387
16005,"Bannock County, Idaho",2020,55226,14907,26.99272081990367
16007,"Bear Lake County, Idaho",2020,3997,731,18.28871653740305
16009,"Benewah County, Idaho",2020,6499,1164,17.91044776119403
16011,"Bingham County, Idaho",2020,27880,5712,20.48780487804878
16013,"Blaine County, Idaho",2020,16229,6380,39.312342103641626
16015,"Boise County, Idaho",2020,6007,1706,28.40019976693857
16017,"Bonner County, Idaho",2020,33298,8871,26.641239714096944
16019,"Bonneville County, Idaho",2020,71072,21956,30.892615938766323
16021,"Boundary County, Idaho",2020,8367,1504,17.97537946695351
16023,"Butte County, Idaho",2020,1962,337,17.176350662589197
16025,"Camas County, Idaho",2020,792,175,22.095959595959595
16027,"Canyon County, Idaho",2020,138891,27997,20.1575336054892
16029,"Caribou County, Idaho",2020,4503,789,17.521652231845437
16031,"Cassia County, Idaho",2020,14312,2780,19.424259362772496
16033,"Clark County, Idaho",2020,564,94,16.666666666666664
16035,"Clearwater County, Idaho",2020,6814,1176,17.258585265629588
16037,"Custer County, Idaho",2020,3093,918,29.67992240543162
16039,"Elmore County, Idaho",2020,16970,3520,20.74248674130819
16041,"Franklin County, Idaho",2020,8152,1396,17.124631992149165
16043,"Fremont County, Idaho",2020,8585,1685,19.62725684333139
16045,"Gem County, Idaho",2020,12408,2339,18.850741457124435
16047,"Gooding County, Idaho",2020,9868,1664,16.862586137008513
16049,"Idaho County, Idaho",2020,12240,2529,20.66176470588235
16051,"Jefferson County, Idaho",2020,16850,4240,25.163204747774483
16053,"Jerome County, Idaho",2020,14663,2168,14.785514560458296
16055,"Kootenai County, Idaho",2020,112546,29968,26.62733460096316
16057,"Latah County, Idaho",2020,23003,10213,44.398556709994345
16059,"Lemhi County, Idaho",2020,6059,1419,23.41970622214887
16061,"Lewis County, Idaho",2020,2755,526,19.09255898366606
16063,"Lincoln County, Idaho",2020,3424,381,11.12733644859813
16065,"Madison County, Idaho",2020,16760,6474,38.627684964200476
16067,"Minidoka County, Idaho",2020,13031,1801,13.820888650141969
16069,"Nez Perce County, Idaho",2020,28279,6819,24.113299621627355
16071,"Oneida County, Idaho",2020,2839,630,22.19091229306094
16073,"Owyhee County, Idaho",2020,7663,959,12.514680934359912
16075,"Payette County, Idaho",2020,15638,2561,16.376774523596367
16077,"Power County, Idaho",2020,4721,741,15.695827155263714
16079,"Shoshone County, Idaho",2020,9224,976,10.581092801387685
16081,"Teton County, Idaho",2020,7928,3283,41.410191725529764
16083,"Twin Falls County, Idaho",2020,54964,12814,23.313441525362055
16085,"Valley County, Idaho",2020,8675,2631,30.328530259365994
16087,"Washington County, Idaho",2020,7174,1362,18.98522442152216
17001,"Adams County, Illinois",2020,45862,11561,25.20823339583969
17003,"Alexander County, Illinois",2020,4288,494,11.520522388059701
17005,"Bond County, Illinois",2020,11841,2574,21.73802888269572
17007,"Boone County, Illinois",2020,35103,8489,24.183118252001254
17009,"Brown County, Illinois",2020,4828,620,12.84175642087821
17011,"Bureau County, Illinois",2020,23397,4841,20.690686840193187
17013,"Calhoun County, Illinois",2020,3478,546,15.69867740080506
17015,"Carroll County, Illinois",2020,10693,2110,19.732535303469557
17017,"Cass County, Illinois",2020,8356,1335,15.976543800861656
17019,"Champaign County, Illinois",2020,122470,55159,45.03878500857353
17021,"Christian County, Illinois",2020,23717,4254,17.936501243833536
17023,"Clark County, Illinois",2020,10918,2385,21.844660194174757
17025,"Clay County, Illinois",2020,9296,1426,15.339931153184166
17027,"Clinton County, Illinois",2020,26770,5809,21.699663802764288
17029,"Coles County, Illinois",2020,32864,8570,26.077166504381694
17031,"Cook County, Illinois",2020,3584933,1433419,39.98454085473843
17033,"Crawford County, Illinois",2020,13854,2291,16.53674029161253
17035,"Cumberland County, Illinois",2020,7615,1437,18.870650032829943
17037,"DeKalb County, Illinois",2020,61798,20009,32.37807048771805
17039,"De Witt County, Illinois",2020,11222,2287,20.379611477454997
17041,"Douglas County, Illinois",2020,13086,2624,20.05196393091854
17043,"DuPage County, Illinois",2020,636291,320052,50.29962705743127
17045,"Edgar County, Illinois",2020,12613,2268,17.981447712677394
17047,"Edwards County, Illinois",2020,4531,604,13.330390642242332
17049,"Effingham County, Illinois",2020,23510,5453,23.19438536792854
17051,"Fayette County, Illinois",2020,15208,1880,12.361914781693846
17053,"Ford County, Illinois",2020,9231,1997,21.633625826021017
17055,"Franklin County, Illinois",2020,27414,4662,17.0059093893631
17057,"Fulton County, Illinois",2020,25243,4623,18.313988036287288
17059,"Gallatin County, Illinois",2020,3629,419,11.545880407825846
17061,"Greene County, Illinois",2020,9238,1414,15.30634336436458
17063,"Grundy County, Illinois",2020,33937,8628,25.423578984589092
17065,"Hamilton County, Illinois",2020,5826,1235,21.19807758324751
17067,"Hancock County, Illinois",2020,12883,2870,22.27741985562369
17069,"Hardin County, Illinois",2020,3014,338,11.214333112143331
17071,"Henderson County, Illinois",2020,5047,884,17.515355656825836
17073,"Henry County, Illinois",2020,34482,8188,23.74572240589293
17075,"Iroquois County, Illinois",2020,19478,3000,15.401991990964165
17077,"Jackson County, Illinois",2020,34883,12397,35.538801135223466
17079,"Jasper County, Illinois",2020,6694,1257,18.77801015835076
17081,"Jefferson County, Illinois",2020,26499,4604,17.374240537378768
17083,"Jersey County, Illinois",2020,15152,3675,24.254223864836323
17085,"Jo Daviess County, Illinois",2020,16073,4245,26.410750948796117
17087,"Johnson County, Illinois",2020,9151,1468,16.041962627035296
17089,"Kane County, Illinois",2020,348436,120761,34.658014671273925
17091,"Kankakee County, Illinois",2020,72808,14986,20.582902977694758
17093,"Kendall County, Illinois",2020,81001,29060,35.87610029505808
17095,"Knox County, Illinois",2020,34885,6697,19.197362763365344
17097,"Lake County, Illinois",2020,458751,211275,46.054395521753634
17099,"LaSalle County, Illinois",2020,76942,14136,18.372280419016924
17101,"Lawrence County, Illinois",2020,11574,1615,13.953689303611544
17103,"Lee County, Illinois",2020,25052,4688,18.713076800255468
