Year,Share.with.medical.debt.in.collections,Share.with.medical.debt.in.collections...Majority.White,Hospital.market.concentration..HHI.,Number.of.Closures.and.Mergers,Share.of.the.population.with.no.health.insurance.coverage,Share.of.non.elderly.adults.with.a.reported.disability,Average.household.income.in..2023,FIPS
2011,0.278,0.266,3277,0,NA,NA,90022,01001
2012,0.265,0.256,3019,0,0.096,0.145,88491,01001
2013,0.282,0.277,3276,0,0.113,0.146,84625,01001
2014,0.13,0.128,3279,0,0.107,0.149,82907,01001
2015,0.15,0.154,3081,0,0.101,0.158,83259,01001
2016,0.112,0.112,3567,0,0.089,0.165,85886,01001
2017,0.177,0.179,3493,0,0.088,0.159,89638,01001
2018,0.187,0.189,3562,0,0.071,0.162,91632,01001
2019,0.163,0.164,3572,0,0.071,0.158,89777,01001
2020,0.141,0.14,3697,0,0.08,0.143,89021,01001
2021,0.137,0.134,3440,0,0.079,0.148,89394,01001
2022,0.12,0.117,3337,0,0.074,0.137,94093,01001
2023,0.034,0.034,NA,NA,NA,NA,NA,01001
2011,0.164,0.164,2084,0,NA,NA,91801,01003
2012,0.155,0.154,1806,0,0.145,0.115,88460,01003
2013,0.172,0.172,1825,0,0.148,0.112,87419,01003
2014,0.112,0.112,2015,0,0.147,0.112,86541,01003
2015,0.12,0.12,2006,0,0.13,0.109,87636,01003
2016,0.117,0.117,2099,0,0.118,0.109,89220,01003
2017,0.126,0.126,2072,0,0.108,0.108,90820,01003
2018,0.127,0.127,2036,0,0.102,0.112,93692,01003
2019,0.133,0.133,1978,0,0.089,0.117,96522,01003
2020,0.134,0.134,2046,0,0.095,0.113,98454,01003
2021,0.11,0.11,1954,0,0.097,0.109,98627,01003
2022,0.085,0.085,1872,0,0.093,0.109,99980,01003
2023,0.038,0.038,NA,NA,NA,NA,NA,01003
2011,0.254,NA,2423,0,NA,NA,57282,01005
2012,0.237,NA,2551,0,0.169,0.198,57851,01005
2013,0.243,NA,2472,0,0.165,0.186,57454,01005
2014,0.148,NA,2431,0,0.155,0.174,59969,01005
2015,0.142,NA,2514,0,0.155,0.202,57449,01005
2016,0.13,NA,2530,0,0.13,0.18,57485,01005
2017,0.129,NA,2373,0,0.123,0.195,56492,01005
2018,0.128,NA,2488,0,0.112,0.189,58135,01005
2019,0.139,NA,2398,0,0.113,0.177,56097,01005
2020,0.131,0.12,2485,0,0.107,0.15,60699,01005
2021,0.131,0.129,2409,0,0.104,0.149,61921,01005
2022,0.111,0.123,2429,0,0.107,0.138,62603,01005
2023,0.044,0.055,NA,NA,NA,NA,NA,01005
2011,0.322,0.293,4305,0,NA,NA,68507,01007
2012,0.294,0.271,4693,0,0.148,0.164,62912,01007
2013,0.329,0.307,4588,0,0.145,0.167,63940,01007
2014,0.315,0.309,4575,0,0.129,0.155,65008,01007
2015,0.309,0.307,4507,0,0.097,0.139,67160,01007
2016,0.295,0.293,4589,0,0.09,0.138,68382,01007
2017,0.259,0.245,4294,0,0.081,0.147,75951,01007
2018,0.278,0.285,4251,0,0.079,0.147,71021,01007
2019,0.262,0.271,4666,0,0.107,0.168,71726,01007
2020,0.279,0.285,4729,0,0.091,0.195,72587,01007
2021,0.247,0.248,4228,0,0.1,0.219,75786,01007
2022,0.206,0.221,4042,0,0.084,0.196,67812,01007
2023,0.071,0.072,NA,NA,NA,NA,NA,01007
2011,0.187,0.184,809,0,NA,NA,75258,01009
2012,0.194,0.191,928,0,0.131,0.163,73819,01009
2013,0.227,0.225,1012,0,0.119,0.157,71703,01009
2014,0.238,0.236,1070,0,0.121,0.16,70389,01009
2015,0.238,0.237,1078,0,0.116,0.153,70557,01009
2016,0.224,0.223,1055,0,0.112,0.132,71653,01009
2017,0.205,0.205,1108,0,0.11,0.129,73309,01009
2018,0.189,0.188,1140,0,0.11,0.123,73590,01009
2019,0.189,0.188,1150,0,0.108,0.118,78231,01009
2020,0.164,0.162,1206,0,0.1,0.132,78127,01009
2021,0.167,0.166,1233,0,0.1,0.15,80793,01009
2022,0.139,0.138,1219,0,0.102,0.16,79080,01009
2023,0.055,0.055,NA,NA,NA,NA,NA,01009
2011,0.432,NA,3386,0,NA,NA,68997,01011
2012,0.303,NA,3116,0,0.144,0.17,66609,01011
2013,0.355,NA,3376,0,0.182,0.159,64119,01011
2014,0.184,NA,3376,0,0.176,0.179,56516,01011
2015,0.145,NA,3172,0,0.181,0.163,53926,01011
2016,0.123,NA,3676,0,0.167,0.159,52208,01011
2017,0.223,NA,3595,0,0.141,0.145,52604,01011
2018,0.192,NA,3666,0,0.108,0.127,55230,01011
2019,0.165,NA,3674,0,0.114,0.091,57889,01011
2020,0.136,NA,3803,0,0.105,0.106,59648,01011
2021,0.179,NA,3533,0,0.101,0.133,52015,01011
2022,0.135,NA,3429,0,0.122,0.114,54420,01011
2023,0.04,NA,NA,NA,NA,NA,NA,01011
2011,0.242,0.177,3389,0,NA,NA,55889,01013
2012,0.264,0.229,3115,0,0.16,0.168,55693,01013
2013,0.285,0.22,3379,0,0.142,0.19,53744,01013
2014,0.176,0.138,3380,0,0.128,0.2,55547,01013
2015,0.189,0.161,3172,0,0.123,0.185,56529,01013
2016,0.196,0.132,3681,0,0.118,0.176,59287,01013
2017,0.22,0.209,3602,0,0.114,0.178,59434,01013
2018,0.194,0.159,3673,0,0.102,0.159,63863,01013
2019,0.187,0.184,3682,1,0.087,0.143,66708,01013
2020,0.178,0.163,3811,0,0.101,0.133,73463,01013
2021,0.168,0.122,3540,0,0.114,0.139,71812,01013
2022,0.14,0.122,3434,0,0.11,0.142,68704,01013
2023,0.071,0.052,NA,NA,NA,NA,NA,01013
2011,0.262,0.262,800,0,NA,NA,69602,01015
2012,0.235,0.235,910,0,0.14,0.171,69027,01015
2013,0.222,0.222,994,0,0.138,0.174,68184,01015
2014,0.266,0.266,1050,0,0.132,0.171,68230,01015
2015,0.273,0.273,1057,0,0.119,0.186,68723,01015
2016,0.247,0.247,1034,0,0.109,0.189,70535,01015
2017,0.281,0.281,1089,0,0.104,0.184,73078,01015
2018,0.297,0.297,1121,1,0.094,0.187,74812,01015
2019,0.267,0.267,1131,0,0.095,0.191,75582,01015
2020,0.214,0.214,1186,0,0.1,0.18,76850,01015
2021,0.25,0.25,1217,0,0.112,0.187,73414,01015
2022,0.208,0.208,1202,1,0.108,0.184,72062,01015
2023,0.108,0.108,NA,NA,NA,NA,NA,01015
2011,0.197,0.19,788,0,NA,NA,57740,01017
2012,0.224,0.232,892,0,0.161,0.181,58215,01017
2013,0.254,0.259,973,0,0.168,0.184,58856,01017
2014,0.175,0.183,1027,1,0.151,0.173,63181,01017
2015,0.184,0.193,1051,0,0.139,0.168,63579,01017
2016,0.193,0.204,1030,0,0.118,0.154,63947,01017
2017,0.183,0.188,1096,0,0.122,0.157,63937,01017
2018,0.181,0.18,1125,0,0.108,0.152,64983,01017
2019,0.171,0.171,1142,0,0.103,0.168,63769,01017
2020,0.166,0.17,1202,0,0.092,0.164,66073,01017
2021,0.132,0.135,1228,0,0.105,0.174,67461,01017
2022,0.089,0.089,1216,0,0.108,0.181,67027,01017
2023,0.041,0.039,NA,NA,NA,NA,NA,01017
2011,0.242,0.242,3210,0,NA,NA,67825,01019
2012,0.235,0.235,2944,0,0.114,0.187,68123,01019
2013,0.197,0.197,2831,0,0.128,0.211,65160,01019
2014,0.198,0.198,2857,0,0.128,0.209,64600,01019
2015,0.23,0.23,2699,0,0.099,0.211,65038,01019
2016,0.242,0.242,2621,0,0.095,0.189,67251,01019
2017,0.255,0.255,3506,0,0.09,0.184,67960,01019
2018,0.219,0.219,3759,0,0.083,0.176,67481,01019
2019,0.207,0.207,3912,0,0.086,0.158,68670,01019
2020,0.198,0.198,3960,0,0.095,0.159,72144,01019
2021,0.222,0.222,4628,0,0.098,0.174,71395,01019
2022,0.199,0.199,4645,0,0.102,0.18,68367,01019
2023,0.086,0.086,NA,NA,NA,NA,NA,01019
2011,0.294,0.294,1104,0,NA,NA,73761,01021
2012,0.265,0.265,1170,0,0.163,0.155,72320,01021
2013,0.267,0.267,1275,1,0.159,0.156,70926,01021
2014,0.283,0.283,1325,0,0.157,0.157,73213,01021
2015,0.297,0.297,1307,0,0.16,0.158,71408,01021
2016,0.3,0.3,1346,0,0.158,0.168,71756,01021
2017,0.238,0.238,1384,0,0.148,0.178,73386,01021
2018,0.257,0.257,1420,0,0.142,0.176,76169,01021
2019,0.263,0.263,1431,0,0.13,0.196,74828,01021
2020,0.256,0.256,1494,0,0.117,0.199,78214,01021
2021,0.244,0.244,1488,0,0.124,0.201,77024,01021
2022,0.213,0.213,1462,0,0.115,0.174,76682,01021
2023,0.069,0.069,NA,NA,NA,NA,NA,01021
2011,0.164,0.143,2860,0,NA,NA,60862,01023
2012,0.173,0.16,3325,0,0.132,0.225,62618,01023
2013,0.226,0.252,3106,0,0.142,0.227,62312,01023
2014,0.249,0.287,2994,0,0.135,0.226,63940,01023
2015,0.206,0.202,3219,0,0.134,0.229,61349,01023
2016,0.15,0.162,3509,0,0.115,0.239,61345,01023
2017,0.157,0.154,3222,0,0.11,0.253,60246,01023
2018,0.112,0.105,3391,0,0.114,0.257,63398,01023
2019,0.119,0.123,3157,0,0.103,0.239,62446,01023
2020,0.134,0.147,3361,0,0.101,0.233,63233,01023
2021,0.123,0.109,2603,0,0.111,0.21,64691,01023
2022,0.101,0.074,3248,0,0.082,0.216,64224,01023
2023,0.058,0.036,NA,NA,NA,NA,NA,01023
2011,0.172,0.177,2078,0,NA,NA,63793,01025
2012,0.156,0.159,1784,0,0.17,0.167,64302,01025
2013,0.133,0.136,1801,0,0.158,0.165,60305,01025
2014,0.107,0.116,2005,0,0.159,0.128,62288,01025
2015,0.12,0.116,1995,0,0.152,0.127,61904,01025
2016,0.111,0.117,2092,0,0.133,0.124,63363,01025
2017,0.161,0.185,2063,0,0.109,0.148,63211,01025
2018,0.183,0.19,2028,0,0.108,0.142,62967,01025
2019,0.177,0.212,1972,0,0.097,0.158,65178,01025
2020,0.19,0.25,2033,0,0.096,0.165,70407,01025
2021,0.15,0.152,1935,0,0.109,0.183,72629,01025
2022,0.103,0.109,1846,0,0.095,0.173,74352,01025
2023,0.046,0.05,NA,NA,NA,NA,NA,01025
2011,0.227,0.227,797,0,NA,NA,59288,01027
2012,0.191,0.188,907,0,0.147,0.206,57197,01027
2013,0.237,0.234,991,0,0.137,0.199,57705,01027
2014,0.202,0.202,1047,0,0.133,0.183,58289,01027
2015,0.192,0.192,1055,0,0.144,0.151,57653,01027
2016,0.22,0.22,1032,0,0.129,0.13,64390,01027
2017,0.216,0.216,1086,0,0.132,0.13,63849,01027
2018,0.203,0.203,1117,0,0.102,0.108,68849,01027
2019,0.188,0.188,1127,0,0.103,0.143,68632,01027
2020,0.18,0.18,1182,0,0.085,0.164,73740,01027
2021,0.175,0.175,1212,0,0.083,0.167,73656,01027
2022,0.139,0.139,1197,0,0.081,0.18,72412,01027
2023,0.058,0.058,NA,NA,NA,NA,NA,01027
2011,0.215,0.215,840,0,NA,NA,67414,01029
2012,0.217,0.217,910,0,0.137,0.17,66134,01029
2013,0.217,0.217,971,0,0.142,0.178,63806,01029
2014,0.244,0.244,1014,0,0.138,0.188,64138,01029
2015,0.22,0.22,1092,0,0.137,0.184,64592,01029
2016,0.211,0.211,1079,0,0.138,0.212,61305,01029
2017,0.196,0.196,1215,0,0.144,0.215,64151,01029
2018,0.238,0.238,1245,0,0.128,0.213,66582,01029
2019,0.165,0.165,1292,0,0.123,0.212,69114,01029
2020,0.188,0.188,1370,0,0.122,0.185,70937,01029
2021,0.235,0.235,1407,0,0.11,0.197,76357,01029
2022,0.221,0.221,1408,0,0.101,0.205,74594,01029
2023,0.08,0.08,NA,NA,NA,NA,NA,01029
2011,0.212,0.212,2416,0,NA,NA,78230,01031
2012,0.174,0.174,2545,0,0.119,0.158,78546,01031
2013,0.179,0.179,2466,1,0.125,0.153,77367,01031
2014,0.132,0.132,2425,0,0.13,0.153,77994,01031
2015,0.133,0.132,2508,0,0.116,0.152,80744,01031
2016,0.145,0.144,2523,0,0.107,0.156,80701,01031
2017,0.14,0.14,2371,0,0.105,0.154,81873,01031
2018,0.148,0.148,2483,0,0.101,0.153,84097,01031
2019,0.154,0.154,2392,0,0.098,0.158,83522,01031
2020,0.14,0.14,2478,0,0.106,0.159,83200,01031
2021,0.164,0.164,2400,0,0.105,0.173,84286,01031
2022,0.136,0.136,2420,0,0.109,0.167,81708,01031
2023,0.082,0.082,NA,NA,NA,NA,NA,01031
2011,0.206,0.206,797,0,NA,NA,69907,01033
2012,0.196,0.196,907,0,0.123,0.17,69811,01033
2013,0.233,0.233,992,0,0.128,0.178,66694,01033
2014,0.267,0.267,1048,0,0.118,0.18,66242,01033
2015,0.226,0.226,1055,0,0.111,0.18,68435,01033
2016,0.242,0.242,1032,0,0.091,0.174,70320,01033
2017,0.244,0.244,1086,0,0.086,0.173,70075,01033
2018,0.256,0.256,1118,0,0.081,0.163,72606,01033
2019,0.237,0.237,1128,0,0.072,0.163,72588,01033
2020,0.206,0.206,1183,0,0.068,0.159,70950,01033
2021,0.229,0.229,1212,0,0.066,0.153,73405,01033
2022,0.177,0.177,1197,0,0.079,0.146,74401,01033
2023,0.062,0.062,NA,NA,NA,NA,NA,01033
2011,0.147,NA,2909,0,NA,NA,59926,01035
2012,0.212,NA,2717,0,0.23,0.21,56089,01035
2013,0.173,NA,2896,0,0.201,0.208,50758,01035
2014,0.133,NA,2894,0,0.215,0.225,48397,01035
2015,0.186,NA,2768,0,0.208,0.235,48917,01035
2016,0.138,NA,3089,0,0.191,0.19,48510,01035
2017,0.133,NA,3044,0,0.157,0.184,49169,01035
2018,0.133,NA,3065,0,0.145,0.209,50689,01035
2019,0.219,NA,3037,0,0.127,0.171,56357,01035
2020,0.171,0.162,3176,0,0.104,0.187,58504,01035
2021,0.226,0.188,3011,0,0.083,0.189,60426,01035
2022,0.185,0.191,2955,0,0.086,0.188,58544,01035
2023,0.065,0.088,NA,NA,NA,NA,NA,01035
2011,0.341,0.305,1088,0,NA,NA,66153,01037
2012,0.432,0.357,1155,0,0.136,0.159,60193,01037
2013,0.337,0.311,1259,0,0.144,0.173,57910,01037
2014,0.262,0.246,1309,0,0.156,0.172,54563,01037
2015,0.243,0.294,1293,0,0.155,0.186,53178,01037
2016,0.284,0.352,1330,0,0.126,0.191,54568,01037
2017,0.2,0.222,1369,0,0.1,0.184,59741,01037
2018,0.294,0.308,1404,0,0.078,0.176,67874,01037
2019,0.238,0.254,1414,0,0.08,0.179,66763,01037
2020,0.173,0.196,1477,0,0.069,0.191,69375,01037
2021,0.192,0.225,1473,0,0.066,0.2,74873,01037
2022,0.171,0.207,1448,0,0.062,0.218,72684,01037
2023,0.072,0.083,NA,NA,NA,NA,NA,01037
2011,0.287,0.287,2289,0,NA,NA,67165,01039
2012,0.293,0.289,2350,0,0.151,0.209,65078,01039
2013,0.274,0.272,2382,0,0.155,0.193,64786,01039
2014,0.275,0.275,2295,1,0.139,0.183,65222,01039
2015,0.273,0.273,2312,0,0.133,0.186,65467,01039
2016,0.268,0.269,2331,0,0.124,0.18,66014,01039
2017,0.283,0.284,2306,0,0.118,0.174,66346,01039
2018,0.274,0.273,2293,0,0.112,0.174,67121,01039
2019,0.273,0.273,2198,0,0.111,0.173,68024,01039
2020,0.222,0.221,2365,0,0.107,0.17,70576,01039
2021,0.224,0.224,2371,0,0.111,0.165,71908,01039
2022,0.179,0.179,2426,0,0.103,0.184,72573,01039
2023,0.101,0.1,NA,NA,NA,NA,NA,01039
2011,0.256,0.251,3345,0,NA,NA,71806,01041
2012,0.248,0.246,3085,0,0.115,0.172,67847,01041
2013,0.292,0.292,3340,0,0.124,0.163,67082,01041
2014,0.18,0.178,3336,0,0.126,0.166,63607,01041
2015,0.143,0.149,3138,0,0.123,0.175,64539,01041
2016,0.097,0.097,3625,0,0.113,0.191,63195,01041
2017,0.169,0.167,3549,0,0.107,0.199,65131,01041
2018,0.163,0.171,3615,0,0.1,0.21,71191,01041
2019,0.178,0.173,3619,0,0.087,0.2,73260,01041
2020,0.16,0.155,3751,0,0.081,0.222,76442,01041
2021,0.142,0.143,3493,0,0.073,0.198,75437,01041
2022,0.125,0.125,3394,0,0.085,0.172,81857,01041
2023,0.068,0.068,NA,NA,NA,NA,NA,01041
2011,0.239,0.239,867,0,NA,NA,69591,01043
2012,0.224,0.224,1031,0,0.156,0.158,68457,01043
2013,0.242,0.243,1113,0,0.16,0.154,67434,01043
2014,0.236,0.236,1180,0,0.155,0.151,67697,01043
2015,0.244,0.244,1187,0,0.15,0.132,66570,01043
2016,0.237,0.237,1163,0,0.145,0.135,66930,01043
2017,0.189,0.189,1215,0,0.134,0.143,68537,01043
2018,0.205,0.205,1245,0,0.118,0.155,71063,01043
2019,0.194,0.194,1257,0,0.111,0.16,71401,01043
2020,0.203,0.203,1319,0,0.116,0.181,73691,01043
2021,0.192,0.192,1335,0,0.109,0.181,76064,01043
2022,0.159,0.159,1324,0,0.106,0.169,78996,01043
2023,0.076,0.076,NA,NA,NA,NA,NA,01043
2011,0.22,0.219,2408,0,NA,NA,74255,01045
2012,0.216,0.216,2540,0,0.131,0.185,73059,01045
2013,0.204,0.204,2458,0,0.139,0.18,72786,01045
2014,0.109,0.109,2417,0,0.13,0.172,70342,01045
2015,0.154,0.154,2503,0,0.134,0.179,71437,01045
2016,0.139,0.139,2514,0,0.131,0.183,71316,01045
2017,0.138,0.138,2361,0,0.123,0.179,70964,01045
2018,0.149,0.149,2473,0,0.114,0.191,71815,01045
2019,0.146,0.146,2381,0,0.116,0.196,72704,01045
2020,0.143,0.143,2467,0,0.108,0.197,69739,01045
2021,0.148,0.148,2391,0,0.102,0.205,71237,01045
2022,0.137,0.137,2411,0,0.1,0.206,70207,01045
2023,0.068,0.068,NA,NA,NA,NA,NA,01045
2011,0.329,NA,808,0,NA,NA,58285,01047
2012,0.376,NA,916,0,0.168,0.218,56047,01047
2013,0.369,NA,1001,0,0.158,0.217,55845,01047
2014,0.267,NA,1057,0,0.146,0.206,55210,01047
2015,0.31,NA,1064,0,0.14,0.198,56084,01047
2016,0.287,NA,1043,0,0.125,0.179,54749,01047
2017,0.308,NA,1096,0,0.121,0.173,54724,01047
2018,0.304,NA,1128,0,0.12,0.173,55877,01047
2019,0.275,NA,1138,0,0.111,0.155,56914,01047
2020,0.275,NA,1193,0,0.102,0.151,54517,01047
2021,0.25,NA,1222,0,0.099,0.16,55494,01047
2022,0.2,NA,1206,0,0.095,0.17,55403,01047
2023,0.062,NA,NA,NA,NA,NA,NA,01047
2011,0.261,0.261,997,0,NA,NA,66381,01049
2012,0.222,0.222,1109,0,0.182,0.156,64231,01049
2013,0.231,0.231,1201,0,0.171,0.155,63242,01049
2014,0.241,0.241,1269,0,0.173,0.155,63156,01049
2015,0.218,0.218,1227,0,0.169,0.141,62551,01049
2016,0.212,0.212,1211,0,0.16,0.138,62535,01049
2017,0.195,0.195,1312,0,0.151,0.142,65214,01049
2018,0.201,0.201,1340,0,0.145,0.139,65717,01049
2019,0.215,0.215,1349,0,0.137,0.116,67208,01049
2020,0.198,0.198,1403,0,0.137,0.12,68517,01049
2021,0.212,0.212,1426,0,0.151,0.132,70154,01049
2022,0.197,0.197,1419,0,0.146,0.141,67202,01049
2023,0.09,0.09,NA,NA,NA,NA,NA,01049
2011,0.243,0.239,3384,0,NA,NA,89182,01051
2012,0.243,0.233,3110,0,0.113,0.139,87708,01051
2013,0.244,0.235,3375,0,0.112,0.139,86216,01051
2014,0.108,0.103,3375,0,0.107,0.141,84649,01051
2015,0.119,0.114,3168,0,0.094,0.162,85608,01051
2016,0.106,0.102,3676,0,0.088,0.158,85901,01051
2017,0.134,0.126,3597,0,0.077,0.156,88802,01051
2018,0.145,0.138,3668,0,0.082,0.163,90558,01051
2019,0.14,0.138,3678,0,0.074,0.155,93404,01051
2020,0.125,0.121,3806,0,0.073,0.135,92928,01051
2021,0.112,0.108,3536,0,0.086,0.131,93902,01051
2022,0.106,0.104,3430,0,0.082,0.133,94250,01051
2023,0.042,0.041,NA,NA,NA,NA,NA,01051
2011,0.367,0.367,2236,0,NA,NA,58485,01053
2012,0.318,0.318,2271,0,0.219,0.177,56493,01053
2013,0.331,0.331,2340,0,0.201,0.19,56025,01053
2014,0.307,0.307,2239,0,0.204,0.185,55788,01053
2015,0.318,0.318,2234,0,0.185,0.184,57726,01053
2016,0.248,0.248,2253,0,0.176,0.187,58534,01053
2017,0.258,0.258,2272,0,0.156,0.18,60571,01053
2018,0.251,0.251,2215,0,0.155,0.171,57648,01053
2019,0.254,0.254,2119,0,0.142,0.16,59880,01053
2020,0.245,0.245,2312,0,0.118,0.185,56705,01053
2021,0.238,0.238,2349,0,0.122,0.2,57443,01053
2022,0.159,0.159,2415,0,0.123,0.205,57828,01053
2023,0.062,0.062,NA,NA,NA,NA,NA,01053
2011,0.242,0.242,800,0,NA,NA,69531,01055
2012,0.24,0.24,910,0,0.156,0.184,68242,01055
2013,0.244,0.244,994,0,0.156,0.194,65907,01055
2014,0.236,0.236,1050,0,0.145,0.189,65651,01055
2015,0.233,0.233,1057,0,0.131,0.194,65903,01055
2016,0.238,0.238,1034,0,0.121,0.183,67163,01055
2017,0.181,0.181,1089,0,0.117,0.181,68810,01055
2018,0.213,0.213,1121,0,0.104,0.181,71535,01055
2019,0.226,0.226,1131,0,0.106,0.176,71962,01055
2020,0.22,0.22,1186,0,0.115,0.163,72085,01055
2021,0.211,0.211,1216,0,0.122,0.158,71765,01055
2022,0.167,0.167,1202,0,0.117,0.156,72561,01055
2023,0.082,0.082,NA,NA,NA,NA,NA,01055
2011,0.288,0.288,6648,0,NA,NA,58308,01057
2012,0.279,0.279,7222,0,0.114,0.231,58354,01057
2013,0.285,0.285,6991,0,0.12,0.225,58036,01057
2014,0.289,0.289,6933,0,0.12,0.228,57766,01057
2015,0.32,0.32,6813,0,0.095,0.24,59573,01057
2016,0.271,0.271,6965,0,0.084,0.272,61484,01057
2017,0.288,0.288,6437,0,0.083,0.247,63259,01057
2018,0.249,0.249,6344,0,0.088,0.251,63128,01057
2019,0.244,0.244,7030,0,0.076,0.252,64236,01057
2020,0.244,0.244,7099,0,0.081,0.225,65328,01057
2021,0.2,0.2,6243,0,0.106,0.205,67375,01057
2022,0.111,0.111,5943,0,0.101,0.195,69426,01057
2023,0.036,0.036,NA,NA,NA,NA,NA,01057
2011,0.261,0.261,881,0,NA,NA,64347,01059
2012,0.237,0.237,993,0,0.169,0.162,65023,01059
2013,0.265,0.265,1068,0,0.17,0.167,63420,01059
2014,0.286,0.286,1121,0,0.178,0.159,60230,01059
2015,0.284,0.284,1135,0,0.158,0.162,61144,01059
2016,0.309,0.309,1107,0,0.141,0.17,60499,01059
2017,0.328,0.328,1160,0,0.12,0.155,63275,01059
2018,0.321,0.321,1211,0,0.128,0.141,63457,01059
2019,0.344,0.344,1225,0,0.117,0.136,67824,01059
2020,0.311,0.311,1276,0,0.117,0.124,65022,01059
2021,0.295,0.295,1297,0,0.127,0.136,65710,01059
2022,0.215,0.215,1279,0,0.125,0.152,66371,01059
2023,0.085,0.085,NA,NA,NA,NA,NA,01059
2011,0.281,0.281,2407,0,NA,NA,64052,01061
2012,0.267,0.267,2539,0,0.158,0.203,60531,01061
2013,0.233,0.233,2457,0,0.154,0.202,63044,01061
2014,0.158,0.158,2416,0,0.155,0.186,62256,01061
2015,0.167,0.167,2501,0,0.154,0.187,63049,01061
2016,0.194,0.194,2512,0,0.147,0.19,62169,01061
2017,0.157,0.157,2359,0,0.139,0.181,63428,01061
2018,0.181,0.181,2471,0,0.137,0.186,60337,01061
2019,0.207,0.207,2379,0,0.126,0.218,63259,01061
2020,0.21,0.21,2465,0,0.117,0.231,64319,01061
2021,0.221,0.221,2390,0,0.119,0.234,64891,01061
2022,0.178,0.178,2411,0,0.121,0.232,66104,01061
2023,0.079,0.079,NA,NA,NA,NA,NA,01061
2011,0.293,NA,6497,0,NA,NA,52107,01063
2012,0.292,NA,7059,0,0.145,0.206,50274,01063
2013,0.355,NA,6836,0,0.151,0.194,48885,01063
2014,0.324,NA,6781,0,0.151,0.224,44134,01063
2015,0.321,NA,6664,0,0.146,0.267,42565,01063
2016,0.267,NA,6812,0,0.14,0.242,42651,01063
2017,0.273,NA,6298,0,0.131,0.196,42917,01063
2018,0.246,NA,6209,0,0.114,0.236,40819,01063
2019,0.233,NA,6878,0,0.128,0.209,43419,01063
2020,0.255,NA,6946,0,0.166,0.183,45002,01063
2021,0.185,NA,6113,0,0.18,0.283,46190,01063
2022,0.139,NA,5820,0,0.139,0.277,50075,01063
2023,0.048,NA,NA,NA,NA,NA,NA,01063
2011,0.209,0.206,7141,0,NA,NA,56070,01065
2012,0.235,0.235,7754,0,0.156,0.203,56597,01065
2013,0.249,0.235,7496,0,0.144,0.202,59926,01065
2014,0.309,0.309,7428,0,0.125,0.211,58717,01065
2015,0.304,0.296,7298,0,0.123,0.196,59299,01065
2016,0.265,0.231,7464,0,0.111,0.205,60377,01065
2017,0.279,0.255,6887,0,0.107,0.186,62282,01065
2018,0.251,0.248,6784,0,0.088,0.194,59905,01065
2019,0.282,0.212,7527,0,0.095,0.18,61966,01065
2020,0.28,0.19,7597,0,0.083,0.21,59268,01065
2021,0.222,0.186,6666,0,0.071,0.203,59148,01065
2022,0.178,0.134,6342,0,0.07,0.232,61483,01065
2023,0.054,0.042,NA,NA,NA,NA,NA,01065
2011,0.182,0.174,2408,0,NA,NA,66468,01067
2012,0.194,0.189,2540,0,0.114,0.173,67503,01067
2013,0.172,0.167,2458,0,0.123,0.181,68421,01067
2014,0.112,0.103,2416,0,0.127,0.187,70019,01067
2015,0.108,0.106,2502,0,0.123,0.194,70497,01067
2016,0.12,0.118,2513,0,0.115,0.189,69617,01067
2017,0.136,0.126,2360,0,0.108,0.195,73223,01067
2018,0.106,0.093,2472,0,0.114,0.178,72170,01067
2019,0.096,0.09,2380,0,0.098,0.176,74723,01067
2020,0.118,0.113,2466,0,0.078,0.164,76139,01067
2021,0.091,0.09,2390,0,0.09,0.172,79937,01067
2022,0.076,0.076,2411,0,0.096,0.184,76739,01067
2023,0.025,0.026,NA,NA,NA,NA,NA,01067
2011,0.161,0.161,2408,0,NA,NA,77939,01069
2012,0.15,0.15,2540,0,0.143,0.149,77172,01069
2013,0.159,0.159,2458,0,0.144,0.15,75701,01069
2014,0.101,0.101,2416,0,0.137,0.155,74632,01069
2015,0.1,0.1,2502,0,0.128,0.162,76549,01069
2016,0.116,0.116,2513,0,0.121,0.163,76209,01069
2017,0.125,0.125,2360,0,0.11,0.164,76482,01069
2018,0.132,0.132,2472,0,0.104,0.165,78784,01069
2019,0.127,0.127,2380,0,0.105,0.158,80872,01069
2020,0.13,0.13,2466,0,0.114,0.147,82092,01069
2021,0.136,0.136,2390,0,0.114,0.154,81057,01069
2022,0.118,0.118,2411,0,0.117,0.154,81643,01069
2023,0.045,0.045,NA,NA,NA,NA,NA,01069
2011,0.233,0.233,2897,0,NA,NA,64259,01071
2012,0.198,0.198,4152,0,0.149,0.165,64553,01071
2013,0.227,0.227,4235,0,0.16,0.17,64887,01071
2014,0.206,0.206,4558,0,0.161,0.17,63021,01071
2015,0.217,0.217,4387,0,0.143,0.152,62835,01071
2016,0.212,0.212,4351,0,0.119,0.158,63750,01071
2017,0.217,0.217,4502,0,0.106,0.166,63342,01071
2018,0.215,0.215,4505,0,0.096,0.172,63378,01071
2019,0.235,0.235,4536,0,0.095,0.182,65323,01071
2020,0.23,0.23,4754,0,0.101,0.195,67958,01071
2021,0.229,0.229,4449,0,0.107,0.203,68235,01071
2022,0.215,0.215,4528,0,0.11,0.208,68539,01071
2023,0.1,0.1,NA,NA,NA,NA,NA,01071
